Year,Month,Rainfall (mm)
1934,6,114.0
1934,7,261.2
1934,8,157.0
1934,9,174.9
1934,10,51.1
1934,11,112.8
1934,12,159.1
1935,1,75.2
1935,2,81.7
1935,3,72.5
1935,4,24.7
1935,5,57.6
1935,6,120.1
1935,7,34.1
1935,8,5.3
1935,9,63.5
1935,10,86.0
1935,11,60.0
1935,12,110.2
1936,1,98.6
1936,2,120.6
1936,3,92.9
1936,4,46.7
1936,5,55.8
1936,6,75.4
1936,7,21.8
1936,8,35.5
1936,9,36.9
1936,10,20.5
1936,11,6.4
1936,12,140.1
1937,1,54.2
1937,2,31.9
1937,3,254.5
1937,4,157.0
1937,5,19.8
1937,6,404.6
1937,7,81.4
1937,8,107.8
1937,9,12.7
1937,10,85.5
1937,11,103.4
1937,12,57.8
1938,1,257.7
1938,2,105.8
1938,3,31.5
1938,4,70.6
1938,5,94.1
1938,6,11.8
1938,7,77.7
1938,8,217.2
1938,9,50.4
1938,10,73.1
1938,11,38.9
1938,12,10.9
1939,1,76.5
1939,2,2.0
1939,3,265.8
1939,4,107.5
1939,5,90.0
1939,6,19.7
1939,7,34.6
1939,8,63.3
1939,9,69.3
1939,10,50.1
1939,11,53.2
1939,12,19.8
1940,1,8.9
1940,2,18.2
1940,3,13.3
1940,4,159.9
1940,5,153.8
1940,6,40.7
1940,7,99.9
1940,8,76.4
1940,9,71.4
1940,10,56.1
1940,11,62.1
1940,12,159.5
1941,1,99.9
1941,2,54.8
1941,3,40.5
1941,4,82.6
1941,5,55.0
1941,6,53.2
1941,7,44.5
1941,8,75.7
1941,9,51.6
1941,10,51.3
1941,11,29.1
1941,12,25.9
1942,1,8.1
1942,2,35.3
1942,3,520.9
1942,4,13.9
1942,5,40.6
1942,6,136.1
1942,7,55.7
1942,8,27.7
1942,9,17.8
1942,10,152.6
1942,11,132.6
1942,12,98.0
1943,1,50.1
1943,2,12.9
1943,3,29.1
1943,4,38.5
1943,5,367.1
1943,6,10.6
1943,7,5.9
1943,8,189.4
1943,9,211.1
1943,10,41.7
1943,11,211.0
1943,12,81.2
1944,1,72.9
1944,2,92.9
1944,3,109.4
1944,4,69.7
1944,5,99.4
1944,6,53.1
1944,7,79.0
1944,8,109.3
1944,9,23.3
1944,10,27.2
1944,11,15.8
1944,12,20.3
1945,1,58.1
1945,2,43.0
1945,3,34.5
1945,4,324.3
1945,5,185.6
1945,6,202.3
1945,7,79.2
1945,8,57.4
1945,9,6.1
1945,10,35.8
1945,11,51.9
1945,12,38.7
1946,1,14.2
1946,2,74.0
1946,3,97.3
1946,4,260.2
1946,5,63.2
1946,6,171.7
1946,7,1.5
1946,8,5.8
1946,9,25.3
1946,10,63.5
1946,11,87.4
1946,12,18.6
1947,1,40.7
1947,2,126.2
1947,3,53.7
1947,4,196.9
1947,5,126.2
1947,6,51.1
1947,7,13.2
1947,8,46.1
1947,9,20.7
1947,10,52.1
1947,11,112.1
1947,12,212.9
1948,1,212.9
1948,2,62.6
1948,3,105.3
1948,4,37.3
1948,5,152.6
1948,6,198.0
1948,7,18.2
1948,8,9.9
1948,9,71.4
1948,10,16.2
1948,11,26.1
1948,12,104.3
1949,1,274.9
1949,2,165.8
1949,3,113.8
1949,4,34.6
1949,5,123.6
1949,6,427.6
1949,7,69.1
1949,8,147.8
1949,9,257.1
1949,10,37.7
1949,11,96.3
1949,12,50.5
1950,1,160.6
1950,2,151.8
1950,3,122.8
1950,4,166.8
1950,5,165.8
1950,6,681.4
1950,7,346.5
1950,8,85.5
1950,9,97.2
1950,10,112.3
1950,11,108.8
1950,12,44.2
1951,1,270.4
1951,2,63.4
1951,3,112.8
1951,4,41.3
1951,5,175.1
1951,6,373.7
1951,7,49.9
1951,8,157.0
1951,9,89.7
1951,10,50.0
1951,11,16.5
1951,12,14.8
1952,1,56.1
1952,2,53.9
1952,3,97.2
1952,4,250.0
1952,5,61.6
1952,6,152.9
1952,7,226.2
1952,8,346.4
1952,9,21.1
1952,10,212.1
1952,11,80.1
1952,12,40.8
1953,1,78.5
1953,2,159.0
1953,3,95.2
1953,4,18.8
1953,5,479.0
1953,6,42.4
1953,7,77.5
1953,8,51.7
1953,9,28.8
1953,10,69.0
1953,11,47.1
1953,12,10.7
1954,1,137.2
1954,2,246.3
1954,3,18.3
1954,4,19.4
1954,5,40.1
1954,6,11.5
1954,7,117.4
1954,8,35.1
1954,9,56.5
1954,10,179.9
1954,11,166.8
1954,12,83.1
1955,1,203.5
1955,2,271.7
1955,3,229.0
1955,4,80.4
1955,5,330.2
1955,6,142.3
1955,7,49.3
1955,8,16.3
1955,9,27.7
1955,10,45.8
1955,11,227.2
1955,12,251.1
1956,1,105.5
1956,2,578.1
1956,3,356.1
1956,4,32.7
1956,5,149.3
1956,6,210.0
1956,7,60.7
1956,8,89.7
1956,9,27.4
1956,10,64.7
1956,11,8.8
1956,12,27.3
1957,1,49.9
1957,2,69.7
1957,3,160.0
1957,4,26.1
1957,5,2.6
1957,6,27.0
1957,7,130.9
1957,8,139.6
1957,9,21.5
1957,10,12.0
1957,11,27.9
1957,12,52.4
1958,1,122.8
1958,2,338.5
1958,3,343.7
1958,4,76.4
1958,5,14.2
1958,6,212.6
1958,7,30.3
1958,8,84.1
1958,9,29.5
1958,10,53.4
1958,11,11.3
1958,12,148.9
1959,1,154.7
1959,2,185.2
1959,3,150.7
1959,4,36.0
1959,5,52.9
1959,6,113.8
1959,7,201.4
1959,8,92.0
1959,9,89.5
1959,10,320.8
1959,11,105.6
1959,12,47.8
1960,1,56.9
1960,2,89.3
1960,3,41.8
1960,4,30.1
1960,5,113.3
1960,6,87.4
1960,7,148.5
1960,8,59.8
1960,9,63.2
1960,10,272.7
1960,11,66.4
1960,12,240.1
1961,1,58.1
1961,2,86.9
1961,3,43.5
1961,4,83.8
1961,5,29.3
1961,6,53.7
1961,7,39.8
1961,8,258.5
1961,9,50.7
1961,10,71.9
1961,11,485.9
1961,12,164.8
1962,1,117.3
1962,2,166.5
1962,3,58.5
1962,4,88.4
1962,5,256.3
1962,6,3.8
1962,7,46.5
1962,8,115.8
1962,9,79.8
1962,10,20.6
1962,11,13.0
1962,12,119.3
1963,1,123.2
1963,2,44.0
1963,3,398.5
1963,4,241.5
1963,5,216.2
1963,6,254.3
1963,7,74.0
1963,8,237.7
1963,9,20.0
1963,10,59.9
1963,11,42.1
1963,12,243.6
