ERROR:root:Invalid data at index 235337: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082921, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235338: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082922, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235339: {'STATIONS_ID': 433, 'MESS_DATUM': 2022082923, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235340: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083000, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235341: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083001, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235342: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083002, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235343: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083003, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235344: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083004, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235345: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083005, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235346: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083006, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235347: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083007, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235348: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083008, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235349: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083009, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235350: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083010, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235351: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083011, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235352: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083012, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235353: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083013, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235354: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083014, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235355: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083015, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235356: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083016, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235357: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083017, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235358: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083018, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235359: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083019, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235360: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083020, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235361: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083021, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235362: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083022, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235363: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083023, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235364: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083100, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235365: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083101, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235366: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083102, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235367: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083103, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235368: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083104, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235369: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083105, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235370: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083106, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235371: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083107, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235372: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083108, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235373: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083109, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235374: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083110, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235375: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083111, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235376: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083112, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235377: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083113, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
